"Zone ID","verygood","good","fair","bad","verybad"
"E02000602",5241,3026,1008,304,78
"E02000603",4287,2822,927,266,77
"E02000604",4924,3140,852,228,74
"E02000605",4470,2699,871,198,73
"E02000606",5552,3430,856,213,68
"E02000607",3717,1959,522,131,46
"E02000608",3700,2212,584,159,38
"E02000609",3775,2584,880,265,65
"E02000610",4162,2591,770,210,64
"E02000611",4078,2378,781,164,39
"E02000612",4280,2764,884,177,60
"E02000613",4557,2445,709,182,48
"E02000614",4839,3166,958,260,69
"E02000615",4001,2672,895,243,70
"E02000616",3059,2236,575,157,33
"E02000617",4218,3143,1066,284,95
"E02000619",4808,2748,984,369,137
"E02000620",5382,2951,972,301,103
"E02000621",6914,3701,971,288,87
"E02000622",4608,2539,849,239,77
"E02000623",4044,2498,898,301,93
"E02000624",5379,2926,907,299,66
"E02000625",5254,2818,852,256,80
"E02000626",4331,2634,961,291,88
"E02000627",5187,2838,905,285,99
"E02000628",5684,3418,1110,397,114
"E02000629",5557,2578,701,215,66
"E02000630",4557,2051,630,182,55
"E02000631",5510,2781,788,291,80
"E02000632",5959,2638,666,214,70
"E02000633",5088,2727,962,259,98
"E02000634",3728,2038,658,221,72
"E02000635",5692,2799,870,280,132
"E02000636",5097,1900,490,156,40
"E02000637",5059,2397,674,184,76
"E02000638",5317,2942,904,296,86
"E02000639",4448,2709,835,256,70
"E02000640",5826,2492,695,219,61
"E02000641",4518,2649,955,310,102
"E02000642",5470,2952,963,311,101
"E02000643",5463,2770,759,251,78
"E02000644",4928,2600,726,209,58
"E02000645",5308,2893,931,303,87
"E02000646",5404,2895,789,227,70
"E02000647",4664,2615,822,269,73
"E02000648",4038,2436,887,291,109
"E02000649",6990,3862,1052,279,84
"E02000650",4050,2345,833,317,113
"E02000651",4754,2775,820,228,53
"E02000652",3918,2553,768,213,61
"E02000653",7018,3998,1052,399,137
"E02000654",4653,2730,975,326,97
"E02000655",5377,3353,905,295,79
"E02000657",5149,2973,914,303,81
"E02000658",4599,2807,851,272,73
"E02000659",4348,2499,813,244,94
"E02000660",4397,2627,746,217,73
"E02000661",3534,2066,625,190,53
"E02000662",4620,2492,801,282,100
"E02000663",3598,2256,689,174,56
"E02000665",4465,2540,839,250,61
"E02000666",3949,2207,666,225,71
"E02000667",3720,2136,616,158,52
"E02000668",3840,2169,624,174,50
"E02000669",4332,2458,775,204,78
"E02000670",3484,2171,732,234,76
"E02000671",4834,2753,844,233,76
"E02000672",5398,3235,1034,330,123
"E02000673",4691,2516,702,182,44
"E02000674",4493,2568,913,258,52
"E02000675",4307,2911,904,270,62
"E02000676",4334,2468,699,194,77
"E02000677",3684,2303,842,208,77
"E02000678",3525,2254,840,257,84
"E02000679",4336,2566,859,269,79
"E02000680",3841,2163,663,251,71
"E02000681",4288,2690,1019,325,141
"E02000682",4561,2955,1004,311,76
"E02000683",3325,2217,812,301,106
"E02000685",4302,2502,874,297,89
"E02000686",3720,2434,956,300,117
"E02000687",4233,2654,900,282,90
"E02000689",5812,2496,564,133,47
"E02000690",3346,1489,441,116,31
"E02000691",4434,2165,486,133,39
"E02000692",4671,2232,535,121,41
"E02000693",5426,3155,802,238,69
"E02000694",5480,2656,696,192,62
"E02000695",4396,2976,969,217,69
"E02000696",4436,3028,855,236,73
"E02000697",5485,2504,585,113,32
"E02000698",4953,2395,642,139,38
"E02000699",4933,2518,595,126,42
"E02000700",4233,3044,996,289,94
"E02000701",4561,3144,926,285,96
"E02000702",4939,3059,944,279,87
"E02000703",4606,2413,723,176,47
"E02000704",4698,2765,760,231,59
"E02000705",4795,3142,1003,241,65
"E02000706",5245,3236,1097,335,121
"E02000707",4254,2781,919,250,85
"E02000708",4868,2846,889,207,55
"E02000709",4328,2594,790,199,66
"E02000710",4467,3084,1063,285,80
"E02000711",4844,3176,1029,290,80
"E02000712",4763,3216,1198,355,113
"E02000713",4071,2632,810,188,49
"E02000714",3931,2554,881,271,72
"E02000715",3476,2539,848,281,111
"E02000716",3632,2491,807,280,81
"E02000717",4080,2787,1023,370,88
"E02000718",3676,2466,917,257,90
"E02000719",3997,2845,849,266,77
"E02000720",3768,2615,803,228,68
"E02000721",4991,2988,1060,351,122
"E02000722",3993,2858,851,245,90
"E02000723",5503,3813,1324,392,151
"E02000724",4984,3411,1164,347,104
"E02000725",5157,3317,1045,307,110
"E02000727",4268,2782,1071,266,125
"E02000728",4327,2889,930,304,76
"E02000729",3700,2400,853,287,87
"E02000730",4955,3325,1159,341,128
"E02000731",4883,3440,1151,360,128
"E02000732",4314,3021,1104,338,122
"E02000733",5036,3402,1156,342,120
"E02000734",3558,2531,855,254,98
"E02000735",4213,2935,1018,335,107
"E02000736",4639,3015,1076,326,98
"E02000737",5218,3439,1199,407,116
"E02000738",5099,3156,951,276,95
"E02000739",3990,2551,816,270,97
"E02000740",3304,2322,772,257,105
"E02000741",3953,2972,935,282,99
"E02000742",4377,3010,878,281,97
"E02000743",5277,3319,1068,374,133
"E02000744",4799,2968,976,322,105
"E02000745",4248,3005,908,322,113
"E02000746",4633,2971,915,343,106
"E02000747",7173,4112,1206,418,163
"E02000748",3158,2007,644,203,93
"E02000749",4902,2966,1054,397,156
"E02000751",6086,3537,1051,313,78
"E02000752",4374,2970,959,347,130
"E02000753",3466,2284,771,257,87
"E02000754",3501,2355,642,208,60
"E02000755",2814,1864,562,180,56
"E02000756",7551,4936,1524,426,148
"E02000757",6950,3926,1098,279,88
"E02000758",3372,2378,804,247,84
"E02000759",7149,4208,1218,346,107
"E02000760",3738,2536,833,306,77
"E02000762",3220,2333,789,233,44
"E02000763",4116,2712,902,207,78
"E02000764",6512,4049,1169,322,113
"E02000765",3771,2679,785,215,74
"E02000767",4260,3087,866,216,59
"E02000768",3286,1788,561,119,35
"E02000770",3982,2820,951,267,72
"E02000772",4174,2917,845,254,57
"E02000773",5492,3677,1044,284,129
"E02000774",4083,2785,881,232,98
"E02000776",3612,2383,739,206,51
"E02000777",3191,1941,615,183,61
"E02000779",4116,2949,879,274,70
"E02000781",8270,5645,1733,453,145
"E02000782",6032,3677,1192,358,111
"E02000783",3763,2463,803,271,95
"E02000784",6198,2700,794,237,82
"E02000785",6125,2619,678,169,27
"E02000786",7151,3046,850,235,71
"E02000787",7207,3502,971,299,104
"E02000788",5819,2420,653,143,47
"E02000789",3816,1714,506,152,44
"E02000790",4283,1780,409,84,29
"E02000791",4194,1698,365,117,30
"E02000792",4422,1946,489,129,34
"E02000793",4261,2662,828,216,63
"E02000794",4284,2016,547,123,25
"E02000795",4339,1801,541,150,44
"E02000796",5566,3756,1255,377,99
"E02000797",4911,2162,561,136,40
"E02000798",6491,3484,943,277,75
"E02000799",3523,1753,472,111,30
"E02000800",2932,1705,536,173,65
"E02000801",4301,2121,541,107,34
"E02000802",4124,2033,566,158,43
"E02000803",5013,3104,1097,363,127
"E02000804",4237,2109,553,148,41
